Station,Station_No,Jan_O,Jan_I,Feb_O,Feb_I,Mar_O,Mar_I,Apr_O,Apr_I,May_O,May_I,Jun_O,Jun_I,Jul_O,Jul_I,Aug_O,Aug_I,Sep_O,Sep_I,Oct_O,Oct_I,Sum_O,Sum_I,Avg_O,Avg_I
頂埔,BL01,7918,8429,7494,7934,8406,8945,8160,8649,4758,5075,2196,2295,3181,3331,4791,5054,5410,5673,6453,6743,58767,62128,5877,6213
永寧,BL02,11871,11409,11098,10783,13047,12577,13135,12634,7209,6846,2866,2700,4069,3884,6625,6435,7680,7473,9531,9294,87131,84035,8713,8404
土城,BL03,7065,7131,6511,6622,7656,7726,7411,7513,4306,4355,1953,2006,2735,2817,4318,4413,4933,4990,5867,5963,52755,53536,5276,5354
海山,BL04,20199,20006,18437,18381,21560,21267,20864,20683,12187,11972,5291,5160,7458,7284,11852,11626,14330,14084,17113,16787,149291,147250,14929,14725
亞東醫院,BL05,19837,21734,17643,19535,21858,23923,21223,23218,12107,13268,5386,5867,7957,8663,11946,13102,14085,15310,17095,18646,149137,163266,14914,16327
府中,BL06,25689,28955,24183,27005,26637,29995,26168,29401,14215,16039,5618,6414,8158,9258,13383,15091,15477,17302,19861,22097,179389,201557,17939,20156
BL板橋,BL07,36727,33726,34753,32057,38586,35340,38906,35673,20355,18642,7556,6721,11406,10189,19845,17950,22390,20278,29693,27075,260217,237651,26022,23765
新埔,BL08,35232,36115,31639,32717,37379,38364,35933,36955,20622,20989,8579,8647,12379,12453,19777,20060,22267,22696,28451,28980,252258,257976,25226,25798
江子翠,BL09,24344,23683,21888,21557,25285,24546,24640,23989,14078,13644,6015,5865,8767,8575,14118,13734,16164,15647,19644,19044,174943,170284,17494,17028
龍山寺,BL10,25390,26258,26718,27444,26092,26937,25837,26618,11919,12648,3706,4027,6084,6529,10901,11579,13707,14466,17333,18218,167687,174724,16769,17472
西門,BL11,58961,58733,62069,60892,60762,60445,61036,60447,27783,28088,9197,9326,13925,14120,26531,26780,31608,31602,44190,44065,396062,394498,39606,39450
善導寺,BL13,18583,17912,15492,14926,21539,20680,20513,19745,10967,10595,4063,4002,5545,5500,8933,8785,11490,11319,14836,14498,131961,127962,13196,12796
忠孝新生,BL14,28724,28972,27130,27155,30584,30794,29451,29773,15886,16140,6537,6673,9213,9402,15116,15459,17593,17952,23982,24236,204216,206556,20422,20656
忠孝敦化,BL15,32713,31237,30431,28615,32899,31330,32226,30499,16687,16046,6134,6094,9186,9109,16240,15793,18881,18206,24618,23687,220015,210616,22002,21062
國父紀念館,BL16,20421,18511,18397,16510,20307,18603,19942,18254,10504,9788,3986,3859,5593,5415,9840,9270,11703,10966,14361,13294,135054,124470,13505,12447
市政府,BL17,58044,56947,55072,53782,59004,57278,59329,57740,31488,30216,12029,11483,16834,16014,30634,29502,36395,35104,48569,47378,407398,395444,40740,39544
